,rank,opp_rank,rank_diff,map_playcount,opp_map_playcount,map_winrate,opp_map_winrate,all_maps_winrate,all_maps_playcount,opp_all_maps_winrate,opp_all_maps_playcount,h2h_maps,h2h_wr,opp_h2h_wr,lan,format,win
102,6,4,-2,1.0,5.0,1.0,0.6,0.5135135135135135,37.0,0.475,40.0,7.0,0.42857142857142855,0.5714285714285714,True,3,1
103,17,5,-12,1.0,1.0,1.0,0.0,0.5185185185185185,27.0,0.5333333333333333,15.0,0.0,0.0,0.0,True,3,1
104,1,11,10,11.0,9.0,0.2727272727272727,0.5555555555555556,0.5333333333333333,45.0,0.47058823529411764,34.0,3.0,0.3333333333333333,0.6666666666666666,True,3,1
105,1,11,10,7.0,9.0,0.7142857142857143,0.4444444444444444,0.5434782608695652,46.0,0.45714285714285713,35.0,4.0,0.5,0.5,True,3,1
106,17,5,-12,6.0,3.0,0.5,0.3333333333333333,0.5357142857142857,28.0,0.5,16.0,1.0,1.0,0.0,True,3,0
107,17,5,-12,6.0,4.0,0.5,0.75,0.5172413793103449,29.0,0.5294117647058824,17.0,2.0,0.5,0.5,True,3,0
108,7,10,3,2.0,7.0,1.0,1.0,0.6875,16.0,0.7,20.0,0.0,0.0,0.0,True,3,1
109,19,8,-11,7.0,3.0,0.42857142857142855,0.3333333333333333,0.4864864864864865,37.0,0.4444444444444444,9.0,0.0,0.0,0.0,True,3,1
110,7,10,3,3.0,4.0,0.6666666666666666,0.25,0.7058823529411765,17.0,0.6666666666666666,21.0,1.0,1.0,0.0,True,3,0
111,19,8,-11,5.0,0.0,0.8,0.0,0.5,38.0,0.4,10.0,1.0,1.0,0.0,True,3,0
112,7,10,3,3.0,1.0,0.3333333333333333,0.0,0.6666666666666666,18.0,0.6818181818181818,22.0,2.0,0.5,0.5,True,3,1
113,19,8,-11,2.0,2.0,1.0,0.5,0.48717948717948717,39.0,0.45454545454545453,11.0,2.0,0.5,0.5,True,3,1
114,3,21,18,7.0,4.0,0.8571428571428571,0.5,0.6551724137931034,29.0,0.46153846153846156,13.0,0.0,0.0,0.0,True,3,1
115,13,4,-9,8.0,2.0,0.25,0.0,0.4642857142857143,28.0,0.47368421052631576,38.0,3.0,0.6666666666666666,0.3333333333333333,True,3,0
116,3,21,18,7.0,0.0,0.7142857142857143,0.0,0.6666666666666666,30.0,0.42857142857142855,14.0,1.0,1.0,0.0,True,3,1
117,13,4,-9,5.0,6.0,0.4,0.5,0.4482758620689655,29.0,0.48717948717948717,39.0,4.0,0.5,0.5,True,3,1
118,13,4,-9,2.0,6.0,1.0,0.5,0.4666666666666667,30.0,0.475,40.0,5.0,0.6,0.4,True,3,0
119,10,5,-5,10.0,5.0,0.5,0.8,0.4444444444444444,36.0,0.5555555555555556,18.0,0.0,0.0,0.0,True,3,0
120,11,18,7,4.0,8.0,0.5,0.5,0.6521739130434783,23.0,0.5,40.0,1.0,0.0,1.0,True,3,0
121,10,5,-5,4.0,4.0,0.75,0.5,0.43243243243243246,37.0,0.5789473684210527,19.0,1.0,0.0,1.0,True,3,0
122,11,18,7,4.0,3.0,1.0,0.3333333333333333,0.625,24.0,0.5121951219512195,41.0,2.0,0.0,1.0,True,3,1
123,11,18,7,8.0,12.0,0.875,0.5,0.64,25.0,0.5,42.0,3.0,0.3333333333333333,0.6666666666666666,True,3,0
124,2,7,5,12.0,4.0,0.3333333333333333,0.75,0.5531914893617021,47.0,0.6842105263157895,19.0,3.0,0.3333333333333333,0.6666666666666666,True,3,1
125,3,4,1,8.0,8.0,0.875,0.5,0.6774193548387096,31.0,0.5,38.0,3.0,0.6666666666666666,0.3333333333333333,True,3,1
126,2,7,5,8.0,3.0,0.75,1.0,0.5625,48.0,0.65,20.0,4.0,0.5,0.5,True,3,1
127,3,4,1,3.0,7.0,0.3333333333333333,0.42857142857142855,0.6875,32.0,0.48717948717948717,39.0,4.0,0.75,0.25,True,3,0
128,3,4,1,6.0,7.0,0.6666666666666666,0.7142857142857143,0.6666666666666666,33.0,0.5,40.0,5.0,0.6,0.4,True,3,0
129,5,18,13,1.0,5.0,0.0,0.4,0.6,20.0,0.5116279069767442,43.0,0.0,0.0,0.0,True,3,1
130,1,6,5,8.0,11.0,0.875,0.45454545454545453,0.7586206896551724,29.0,0.5,36.0,4.0,1.0,0.0,True,3,1
131,5,18,13,5.0,13.0,0.6,0.5384615384615384,0.6190476190476191,21.0,0.5,44.0,1.0,1.0,0.0,True,3,0
132,1,6,5,7.0,5.0,1.0,0.4,0.7666666666666667,30.0,0.4864864864864865,37.0,5.0,1.0,0.0,True,3,1
133,5,18,13,6.0,9.0,0.8333333333333334,0.5555555555555556,0.5909090909090909,22.0,0.5111111111111111,45.0,2.0,0.5,0.5,True,3,1
134,6,5,-1,5.0,6.0,0.6,0.5,0.4857142857142857,35.0,0.5714285714285714,21.0,0.0,0.0,0.0,True,3,1
135,6,5,-1,12.0,6.0,0.4166666666666667,0.8333333333333334,0.5,36.0,0.5454545454545454,22.0,1.0,1.0,0.0,True,3,1
136,4,7,3,8.0,4.0,0.5,0.75,0.5121951219512195,41.0,0.6190476190476191,21.0,0.0,0.0,0.0,True,3,1
137,4,7,3,3.0,4.0,0.3333333333333333,0.5,0.5238095238095238,42.0,0.5909090909090909,22.0,1.0,1.0,0.0,True,3,0
138,4,7,3,8.0,4.0,0.75,0.5,0.5116279069767442,43.0,0.6086956521739131,23.0,2.0,0.5,0.5,True,3,1
139,2,6,4,12.0,13.0,0.4166666666666667,0.46153846153846156,0.5454545454545454,44.0,0.5135135135135135,37.0,3.0,0.3333333333333333,0.6666666666666666,True,3,1
140,2,6,4,8.0,6.0,0.75,0.3333333333333333,0.5555555555555556,45.0,0.5,38.0,4.0,0.5,0.5,True,3,1
141,1,4,3,2.0,7.0,1.0,0.5714285714285714,0.7741935483870968,31.0,0.5227272727272727,44.0,4.0,0.5,0.5,True,3,1
142,1,4,3,9.0,9.0,0.8888888888888888,0.4444444444444444,0.78125,32.0,0.5111111111111111,45.0,5.0,0.6,0.4,True,3,1
143,2,1,-1,4.0,8.0,0.25,1.0,0.5909090909090909,44.0,0.7878787878787878,33.0,3.0,0.6666666666666666,0.3333333333333333,True,5,0
144,2,1,-1,8.0,6.0,0.875,0.6666666666666666,0.5777777777777777,45.0,0.7941176470588235,34.0,4.0,0.5,0.5,True,5,0
145,2,1,-1,13.0,10.0,0.46153846153846156,0.9,0.5652173913043478,46.0,0.8,35.0,5.0,0.4,0.6,True,5,1
146,2,1,-1,5.0,2.0,0.4,0.5,0.574468085106383,47.0,0.7777777777777778,36.0,6.0,0.5,0.5,True,5,0
147,28,21,-7,9.0,3.0,0.5555555555555556,0.3333333333333333,0.5365853658536586,41.0,0.5,22.0,0.0,0.0,0.0,True,3,1
148,28,21,-7,5.0,4.0,0.4,0.5,0.5476190476190477,42.0,0.4782608695652174,23.0,1.0,1.0,0.0,True,3,0
149,28,21,-7,5.0,6.0,0.8,0.8333333333333334,0.5348837209302325,43.0,0.5,24.0,2.0,0.5,0.5,True,3,0
150,12,23,11,3.0,3.0,0.6666666666666666,0.0,0.46153846153846156,26.0,0.47619047619047616,42.0,6.0,0.6666666666666666,0.3333333333333333,True,1,1
151,12,18,6,4.0,3.0,0.75,0.0,0.48148148148148145,27.0,0.5769230769230769,26.0,0.0,0.0,0.0,True,3,1
152,12,18,6,9.0,5.0,0.2222222222222222,0.4,0.5,28.0,0.5555555555555556,27.0,1.0,1.0,0.0,True,3,0
153,12,18,6,2.0,2.0,0.5,1.0,0.4827586206896552,29.0,0.5714285714285714,28.0,2.0,0.5,0.5,True,3,0
154,22,9,-13,10.0,0.0,0.6,0.0,0.5862068965517241,58.0,0.5333333333333333,15.0,2.0,0.0,1.0,True,3,0
155,7,18,11,6.0,5.0,0.6666666666666666,0.4,0.4444444444444444,18.0,0.4,15.0,0.0,0.0,0.0,True,3,1
156,7,18,11,5.0,1.0,0.4,0.0,0.47368421052631576,19.0,0.375,16.0,1.0,1.0,0.0,True,3,1
157,22,9,-13,7.0,5.0,0.5714285714285714,0.6,0.576271186440678,59.0,0.5625,16.0,3.0,0.0,1.0,True,3,0
158,13,24,11,3.0,5.0,0.0,0.2,0.375,8.0,0.20833333333333334,24.0,0.0,0.0,0.0,True,3,1
159,20,1,-19,8.0,3.0,0.5,1.0,0.575,40.0,0.8181818181818182,33.0,0.0,0.0,0.0,True,3,0
160,13,24,11,2.0,3.0,0.5,0.0,0.4444444444444444,9.0,0.2,25.0,1.0,1.0,0.0,True,3,1
161,20,1,-19,8.0,9.0,0.75,1.0,0.5609756097560976,41.0,0.8235294117647058,34.0,1.0,0.0,1.0,True,3,0
162,24,20,-4,4.0,9.0,0.0,0.4444444444444444,0.19230769230769232,26.0,0.5476190476190477,42.0,0.0,0.0,0.0,True,3,0
163,18,22,4,6.0,14.0,0.3333333333333333,0.5,0.35294117647058826,17.0,0.5666666666666667,60.0,0.0,0.0,0.0,True,3,0
164,24,20,-4,7.0,5.0,0.2857142857142857,0.6,0.18518518518518517,27.0,0.5581395348837209,43.0,1.0,0.0,1.0,True,3,0
165,18,22,4,1.0,8.0,1.0,0.625,0.3333333333333333,18.0,0.5737704918032787,61.0,1.0,0.0,1.0,True,3,0
166,7,9,2,7.0,3.0,0.7142857142857143,0.3333333333333333,0.5,20.0,0.5882352941176471,17.0,3.0,0.3333333333333333,0.6666666666666666,True,3,1
167,7,9,2,2.0,3.0,0.0,1.0,0.5238095238095238,21.0,0.5555555555555556,18.0,4.0,0.5,0.5,True,3,1
168,13,1,-12,1.0,1.0,1.0,0.0,0.5,10.0,0.875,32.0,0.0,0.0,0.0,True,3,1
169,13,1,-12,4.0,11.0,0.25,0.8181818181818182,0.5454545454545454,11.0,0.8484848484848485,33.0,1.0,1.0,0.0,True,3,1
170,20,9,-11,10.0,0.0,0.5,0.0,0.5681818181818182,44.0,0.5263157894736842,19.0,0.0,0.0,0.0,True,3,1
171,20,9,-11,6.0,6.0,0.6666666666666666,0.6666666666666666,0.5777777777777777,45.0,0.5,20.0,1.0,1.0,0.0,True,3,0
172,20,9,-11,9.0,1.0,0.6666666666666666,0.0,0.5652173913043478,46.0,0.5238095238095238,21.0,2.0,0.5,0.5,True,3,0
173,22,1,-21,11.0,2.0,0.7272727272727273,0.0,0.5806451612903226,62.0,0.8235294117647058,34.0,0.0,0.0,0.0,True,3,0
174,22,1,-21,7.0,9.0,0.42857142857142855,1.0,0.5714285714285714,63.0,0.8285714285714286,35.0,1.0,0.0,1.0,True,3,0
175,24,18,-6,6.0,7.0,0.16666666666666666,0.2857142857142857,0.17857142857142858,28.0,0.3157894736842105,19.0,0.0,0.0,0.0,True,3,0
176,24,18,-6,8.0,2.0,0.25,0.0,0.1724137931034483,29.0,0.35,20.0,1.0,0.0,1.0,True,3,1
177,24,18,-6,2.0,2.0,0.5,1.0,0.2,30.0,0.3333333333333333,21.0,2.0,0.5,0.5,True,3,0
178,9,1,-8,4.0,3.0,0.75,0.3333333333333333,0.5454545454545454,22.0,0.8333333333333334,36.0,0.0,0.0,0.0,True,3,0
179,9,1,-8,2.0,10.0,0.5,1.0,0.5217391304347826,23.0,0.8378378378378378,37.0,1.0,0.0,1.0,True,3,1
180,9,1,-8,4.0,12.0,0.25,0.75,0.5416666666666666,24.0,0.8157894736842105,38.0,2.0,0.5,0.5,True,3,0
